"Gemeentenaam","% autobezitters met stekkerauto (%)"
"Katwijk","1,82"
"Kerkrade","0,81"
"Koggenland","1,85"
"Krimpen aan den IJssel","1,51"
"Krimpenerwaard","1,93"
"Laarbeek","1,48"
"Landerd","2,05"
"Landgraaf","0,96"
"Landsmeer","3,12"
"Langedijk","2,10"
"Lansingerland","2,79"
"Laren (NH.)","4,82"
"Leeuwarden","1,44"
"Leiden","1,63"
"Leiderdorp","1,91"
"Leidschendam-Voorburg","1,87"
"Lelystad","2,29"
"Leudal","1,61"
"Leusden","2,01"
"Lingewaard","1,71"
"Lisse","1,84"
"Lochem","2,36"
"Loon op Zand","1,66"
"Lopik","1,99"
"Loppersum","1,12"
"Losser","1,08"
"Maasdriel","2,03"
"Maasgouw","1,50"
"Maassluis","1,07"
"Maastricht","1,11"
"Medemblik","1,99"
"Meerssen","1,47"
"Meierijstad","1,53"
"Meppel","1,30"
"Middelburg (Z.)","1,15"
"Midden-Delfland","2,39"
"Midden-Drenthe","1,65"
"Midden-Groningen","1,25"
"Mill en Sint Hubert","1,58"
"Moerdijk","1,56"
"Molenlanden","1,82"
"Montferland","1,54"
"Montfoort","1,78"
"Mook en Middelaar","2,67"
"Neder-Betuwe","1,84"
"Nederweert","1,79"
"Nieuwegein","1,28"
"Nieuwkoop","2,14"
"Nijkerk","2,13"
"Nijmegen","1,33"
"Nissewaard","1,14"
"Noardeast-Fryslân","1,29"
"Noord-Beveland","1,95"
"Noordenveld","1,98"
"Noordoostpolder","1,74"
"Noordwijk","2,33"
"Nuenen, Gerwen en Nederwetten","2,11"
"Nunspeet","1,52"
"Oegstgeest","2,74"
"Oirschot","1,96"
"Oisterwijk","2,53"
"Oldambt","0,82"
"Oldebroek","1,34"
"Oldenzaal","1,32"
"Olst-Wijhe","1,88"
"Ommen","2,21"
"Oost Gelre","1,21"
"Oosterhout","1,48"
"Ooststellingwerf","1,54"
"Oostzaan","2,62"
"Opmeer","1,57"
"Opsterland","1,68"
"Oss","1,51"
"Oude IJsselstreek","1,29"
"Ouder-Amstel","2,87"
"Oudewater","2,14"
"Overbetuwe","1,96"
"Papendrecht","1,62"
"Peel en Maas","1,10"
"Pekela","0,80"
"Pijnacker-Nootdorp","2,57"
"Purmerend","1,39"
"Putten","1,90"
"Raalte","1,37"
"Reimerswaal","1,07"
"Renkum","2,38"
"Renswoude","1,57"
"Reusel-De Mierden","1,27"
"Rheden","1,85"
"Rhenen","1,47"
"Ridderkerk","1,29"
"Rijssen-Holten","1,27"
"Rijswijk (ZH.)","1,61"
"Roerdalen","0,99"
"Roermond","1,27"
"Roosendaal","1,34"
"Rotterdam","1,44"
"Rozendaal","5,78"
"Rucphen","1,20"
"Schagen","1,72"
"Scherpenzeel","1,32"
"Schiedam","1,30"
"Schiermonnikoog","1,06"
"Schouwen-Duiveland","1,94"
"'s-Gravenhage (gemeente)","1,92"
"'s-Hertogenbosch","1,65"
"Simpelveld","0,97"
"Sint Anthonis","1,82"
"Sint-Michielsgestel","1,93"
"Sittard-Geleen","1,10"
"Sliedrecht","1,48"
"Sluis","1,18"
"Smallingerland","1,45"
"Soest","2,29"
"Someren","1,33"
"Son en Breugel","2,14"
"Stadskanaal","1,10"
"Staphorst","1,24"
"Stede Broec","1,44"
"Steenbergen","1,45"
"Steenwijkerland","1,52"
"Stein (L.)","0,92"
"Stichtse Vecht","2,66"
"Súdwest-Fryslân","1,54"
"Terneuzen","1,10"
"Terschelling","2,06"
"Texel","2,10"
"Teylingen","2,19"
"Tholen","1,48"
"Tiel","1,61"
"Tilburg","1,47"
"Tubbergen","1,17"
"Twenterand","0,93"
"Tynaarlo","2,86"
"Tytsjerksteradiel","1,64"
"Uden","1,61"
"Uitgeest","1,92"
"Uithoorn","2,12"
"Urk","1,78"
"Utrecht (gemeente)","1,99"
"Utrechtse Heuvelrug","2,74"
"Vaals","1,24"
"Valkenburg aan de Geul","1,68"
"Valkenswaard","1,53"
"Veendam","1,05"
"Veenendaal","1,51"
"Veere","1,77"
"Veldhoven","1,66"
"Velsen","1,51"
"Venlo","1,06"
"Venray","1,19"
"Vijfheerenlanden","1,79"
"Vlaardingen","1,18"
"Vlieland","2,01"
"Vlissingen","0,92"
"Voerendaal","1,45"
"Voorschoten","1,90"
"Voorst","1,77"
"Vught","2,55"
"Waadhoeke","1,44"
"Waalre","2,35"
"Waalwijk","1,41"
"Waddinxveen","1,95"
"Wageningen","1,79"
"Wassenaar","3,89"
"Waterland","2,68"
"Weert","1,31"
"Weesp","1,89"
"West Betuwe","2,42"
"West Maas en Waal","1,85"
"Westerkwartier","1,57"
"Westerveld","2,12"
"Westervoort","1,05"
"Westerwolde","1,17"
"Westland","1,80"
"Weststellingwerf","1,37"
"Westvoorne","2,77"
"Wierden","1,70"
"Wijchen","1,59"
"Wijdemeren","2,78"
"Wijk bij Duurstede","1,84"
"Winterswijk","1,22"
"Woensdrecht","1,40"
"Woerden","2,19"
"Wormerland","2,06"
"Woudenberg","2,04"
"Zaanstad","1,60"
"Zaltbommel","2,03"
"Zandvoort","1,83"
"Zeewolde","2,42"
"Zeist","2,85"
"Zevenaar","1,35"
"Zoetermeer","1,68"
"Zoeterwoude","1,87"
"Zuidplas","2,02"
"Zundert","1,51"
"Zutphen","1,43"
"Zwartewaterland","1,25"
"Zwijndrecht","1,32"
"Zwolle","1,58"
"Bron: CBS, RDW"
